acousticness,artists,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.29,['Cellular Project'],0.344,192332,0.857,0.874,3,0.125,-5.441,1,Purple Daze,0,1930,0.0507,140.669,0.158,1930
0.971,"['Francisco Canaro', 'Luis Diaz']",0.807,207493,0.202,0.161,6,0.0561,-13.675,1,Cascabeles - Remasterizado,0,03-12-1930,0.184,115.364,0.886,1930
0.989,"['Francisco Canaro', 'Charlo']",0.445,185507,0.288,0.758,2,0.111,-8.925,1,Cantando Bajo la Lluvia - Remasterizado,0,12-11-1930,0.0699,205.423,0.697,1930
0.996,['Sotiris Stasinopoulos'],0.269,271560,0.319,0.882,7,0.196,-16.218,1,Kovo Mia Klara,0,01-01-1930,0.0514,75.833,0.447,1930
0.971,['Nota Kaleli'],0.74,30000,0.508,0.946,2,0.134,-11.353,1,Pagkratiotissa mou,0,01-01-1930,0.063,76.43,0.967,1930
0.87,['Robert Francis'],0.353,137090,0.0785,2.21E-06,0,0.112,-18.434,0,My Funny Valentine,2,1930,0.0376,70.535,0.261,1930
0.99,"['Francisco Canaro', 'Roberto Maida']",0.518,174493,0.462,0.85,4,0.157,-9.632,0,A Lo Lejos - Remasterizado,0,03-12-1930,0.377,178.88,0.696,1930
0.991,['The Caresser'],0.574,189571,0.372,0.000129,4,0.877,-9.888,0,Edward the VIII,1,01-01-1930,0.0592,88.836,0.874,1930
0.991,['Soula Karagiorgi'],0.358,182733,0.35,0.0387,2,0.348,-13.585,1,Skliri Kardia,0,01-01-1930,0.0392,113.337,0.305,1930
0.779,['The Merlons'],0.427,128707,0.531,0.978,0,0.145,-16.675,1,Loda,0,1930,0.0325,110.993,0.353,1930
0.994,"['Francisco Canaro', 'Charlo', 'Angel Ramos']",0.6,202000,0.174,0.805,4,0.173,-9.047,1,Clavel del Aire - Remasterizado,0,13-11-1930,0.0449,118.107,0.594,1930
0.977,['Κώστας Δούσιας'],0.611,240160,0.38,0.000192,10,0.117,-16.791,1,Το καλογεράκι,0,01-01-1930,0.0586,147.909,0.654,1930
0.996,['Miltiadis Kazis'],0.401,253121,0.354,0.0123,2,0.248,-8.238,1,Kanella kanellitsa mou,0,01-01-1930,0.0387,113.026,0.797,1930
0.984,['Carlos Gardel'],0.711,165200,0.256,0.00756,11,0.084,-11.731,1,Que se vaya,2,18-08-1930,0.0789,114.151,0.603,1930
0.983,['Raquel Meller'],0.728,157246,0.159,0.000423,2,0.115,-10.325,1,Ay! Cipriano,1,01-01-1930,0.475,122.18,0.65,1930
0.995,"[""Sam Manning's and His Cole Jazz Orchestra""]",0.664,173333,0.283,0.874,8,0.109,-18.301,0,Bungo,0,01-01-1930,0.0807,99.506,0.688,1930
0.821,['The Four Deuces'],0.627,132400,0.795,0,7,0.105,-0.395,1,Fore Day in the Morning,0,01-01-1930,0.136,100.715,0.975,1930
0.941,"['Banda del Regimiento Pérez 3 de Infantería', 'Adrián Patiño']",0.629,184086,0.714,0.97,7,0.284,-9.104,1,Como El Rocha,0,01-01-1930,0.0361,126.95,0.965,1930
0.00142,['Shiny Gnomes'],0.45,224360,0.873,0.000147,7,0.323,-6.885,1,The Nest,0,1930,0.0507,132.04,0.505,1930
0.944,"['Petros Epitropakis', 'Elvira Nte Ntalgko']",0.433,187294,0.458,0.00186,5,0.0641,-10.689,1,Mparmpa Giannis Kanatas,0,01-01-1930,0.0585,65.672,0.716,1930
0.971,['Carlos Gardel'],0.72,140573,0.236,0.00119,2,0.0376,-14.263,0,Esclavas blancas,1,18-08-1930,0.121,128.107,0.69,1930
0.993,['Paradosiako'],0.308,208704,0.317,0.934,2,0.109,-12.646,0,Argitiko,0,01-01-1930,0.0451,87.108,0.915,1930
0.992,"['Francisco Canaro', 'Charlo']",0.373,204000,0.239,0.848,4,0.179,-9.449,1,Nunca Jamás - Remasterizado,0,13-11-1930,0.079,83.856,0.589,1930
0.936,['Ioannis Panagiotopoulos'],0.594,192347,0.54,0.879,8,0.242,-10.699,0,To Tragoudi Tou Kolokotroni,0,01-01-1930,0.0507,108.376,0.772,1930
0.982,['Los Peregrinos'],0.453,175882,0.446,0.0467,0,0.463,-9.89,0,Cholita Paceña (Cueca),0,01-01-1930,0.036,118.377,0.64,1930
0.994,['Giorgos Papasideris'],0.429,182733,0.214,0.941,3,0.111,-14.994,0,Me Doxa Na Girisis,0,01-01-1930,0.0626,77.289,0.716,1930
0.994,['D.roitman'],0.327,257493,0.114,0.556,7,0.13,-19.691,0,Oshamnu mikolom,0,1930,0.0534,66.043,0.184,1930
0.991,['Carlos Galhardo'],0.712,197092,0.623,0.566,4,0.303,-9.828,1,O Palhaço o Que É?,7,14-06-1930,0.04,134.58,0.926,1930
0.993,['Smt. Angurbala Devi'],0.433,193280,0.148,0.898,3,0.0967,-16.861,0,Kapat Shyam E Ki Chhalona,0,01-12-1930,0.0588,127.361,0.313,1930
0.943,['Roza Eskenazi'],0.354,203600,0.387,0.00817,1,0.0674,-9.324,1,Alaniara,0,01-01-1930,0.0293,99.883,0.442,1930
0.996,['Marika Papaggika'],0.478,247360,0.404,0.76,2,0.114,-9.466,1,Mes tou Siggrou th filaki,0,01-01-1930,0.0401,117.94,0.696,1930
0.979,['Francisco Canaro'],0.696,170507,0.325,0.664,1,0.432,-8.604,1,Ya Va Para Un Mes - Instrumental (Remasterizado),0,03-12-1930,0.135,115.337,0.856,1930
0.993,['Pirros Xronidis'],0.423,192587,0.409,3.07E-06,0,0.342,-11.573,0,Ki An Metaniosoume,0,01-01-1930,0.0364,100.719,0.617,1930
0.993,['Ignacio Corsini'],0.635,177787,0.143,0.504,3,0.119,-20.475,0,El Regreso - Remasterizado,0,21-06-1930,0.097,103.767,0.54,1930
0.995,"['Francisco Canaro', 'Charlo']",0.585,191000,0.199,0.6,6,0.12,-11.035,1,Pantaleón - Remasterizado,0,16-11-1930,0.127,210.173,0.926,1930
0.995,['Dimitris Arapakis'],0.37,181693,0.287,0.448,2,0.122,-12.17,1,Evga Gkolfo Sto Vouno,0,01-01-1930,0.0514,110.882,0.327,1930
0.994,['Giorgos Papasideris'],0.367,175493,0.262,0.939,10,0.124,-13.883,0,Kato Ston Kampo Sto Plati,0,01-01-1930,0.054,74.284,0.842,1930
